stock_name,stock_code,trade_date,open,close,high,low,volume,amount,pct_w,pct_chg,amount_chg,exchg,MA_5,MA_10,MA_20,MA_60,EMA_5,EMA_10,EMA_20,EMA_60,RSI,DIF,DEA,ATR,OBV
电连技术,300679,2024-12-03,54.97,55.43,56.23,54.09,75176,418606430.0,3.89,0.84,0.46,2.1,54.078,52.87,,,54.265,52.837,,,70.695,,,2.866,445902.0
依顿电子,603328,2024-12-03,9.18,9.16,9.2,9.05,128995,120306611.0,1.64,-0.11,-0.01,1.29,9.03,9.021,,,9.071,9.108,,,37.622,,,0.326,-356087.0
至纯科技,603690,2024-12-03,27.44,26.78,27.64,26.27,178232,480533696.0,5.14,0.49,0.13,4.62,26.154,26.365,,,26.407,26.708,,,32.906,,,1.38,262454.0
国茂股份,603915,2024-12-03,12.37,12.45,12.99,12.16,269506,344294706.0,6.71,0.65,0.08,4.1,11.926,12.02,,,12.088,11.8,,,58.733,,,0.736,1193371.0
秦川机床,000837,2024-12-04,9.73,10.01,10.29,9.73,665380,672477465.17,5.69,1.62,0.16,6.85,9.586,9.356,,,9.687,9.531,,,47.819,,,0.426,1363575.0
宝武镁业,002182,2024-12-04,11.13,11.35,11.77,10.97,542012,619074194.98,7.25,2.9,0.32,6.96,11.088,10.925,,,11.098,10.989,,,49.949,,,0.55,-828777.0
奥特佳,002239,2024-12-04,3.18,3.19,3.23,3.15,1082695,345702517.0,2.5,-0.31,-0.01,3.34,3.124,3.053,,,3.138,3.106,,,41.384,,,0.114,-64853.0
星网锐捷,002396,2024-12-04,17.14,16.81,17.17,16.7,75264,129156171.49,2.74,-2.1,-0.36,1.29,16.95,17.051,,,17.0,17.177,,,36.222,,,0.662,-157116.0
崇达技术,002815,2024-12-04,10.12,10.1,10.35,10.03,389382,400661749.19,3.17,0.0,0.0,6.08,9.904,9.959,,,9.991,9.914,,,52.342,,,0.511,1913733.0
奥士康,002913,2024-12-04,23.82,23.4,23.89,23.25,26760,64636761.0,2.68,-1.97,-0.47,1.05,23.59,23.63,,,23.626,23.821,,,31.935,,,0.741,-46848.0
电连技术,300679,2024-12-04,54.74,54.13,55.43,53.4,60075,328741405.0,3.66,-2.35,-1.3,1.68,54.416,53.148,,,54.22,53.072,,,64.093,,,2.807,385827.0
依顿电子,603328,2024-12-04,9.16,9.02,9.23,8.97,111477,103544252.0,2.84,-1.53,-0.14,1.12,9.04,8.992,,,9.054,9.092,,,35.368,,,0.321,-467564.0
至纯科技,603690,2024-12-04,27.55,26.94,27.99,26.67,173918,475590914.0,4.93,0.6,0.16,4.51,26.368,26.301,,,26.585,26.75,,,34.232,,,1.376,436372.0
国茂股份,603915,2024-12-04,12.24,12.54,13.04,12.19,266895,342585468.0,6.83,0.72,0.09,4.06,12.128,12.024,,,12.239,11.934,,,59.341,,,0.744,1460266.0
秦川机床,000837,2024-12-05,10.1,10.17,10.35,9.91,530136,538217571.28,4.4,1.6,0.16,5.46,9.838,9.431,,,9.848,9.648,,,50.179,,,0.427,1893711.0
宝武镁业,002182,2024-12-05,11.43,12.04,12.04,11.3,736600,868002259.94,6.52,6.08,0.69,9.46,11.306,10.985,,,11.412,11.18,,,57.888,,,0.564,-92177.0
