ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
600887.SH,伊利股份,2024/11/14,2567.0603,2587.6585,2538.7376,2541.3124,44035478,1315695899,-1.3329,0.6952,15.8175,-0.39162,0.765
600887.SH,伊利股份,2024/11/15,2537.8794,2570.4933,2508.6985,2513.8481,48275045,1429803457,-1.0807,0.7621,15.6466,-0.5614,0.53855
600887.SH,伊利股份,2024/11/18,2513.8481,2536.1629,2476.9428,2487.2419,40026169,1170735839,-1.0584,0.6319,15.481,-0.69342,0.521615
600887.SH,伊利股份,2024/11/19,2477.8011,2507.8402,2437.4628,2477.8011,41558775,1195941448,-0.3796,0.6561,15.4222,-0.62938,0.42633
600887.SH,伊利股份,2024/11/20,2480.3759,2506.1237,2457.2028,2492.3915,28653124,830306989,0.5888,0.4523,15.513,-0.65256,0.38061
600887.SH,伊利股份,2024/11/21,2481.2341,2512.9898,2480.3759,2503.5489,23962533,696695953,0.4477,0.3783,15.5825,-0.29644,0.4937
600887.SH,伊利股份,2024/11/22,2503.5489,2506.1237,2434.0297,2437.4628,29249907,841696294,-2.6397,0.4618,15.1711,-0.60824,0.33155
600887.SH,伊利股份,2024/11/25,2437.4628,2461.4941,2417.7228,2422.0141,41098629,1165494151,-0.6338,0.6488,15.075,-0.52332,0.2174
600887.SH,伊利股份,2024/11/26,2427.1636,2480.3759,2417.7228,2452.0532,34108379,976009665,1.2403,0.5385,15.262,-0.19934,0.390035
600887.SH,伊利股份,2024/11/27,2446.0454,2487.2419,2437.4628,2477.8011,30222719,869636266,1.0501,0.4771,15.4222,-0.10708,0.457625
600887.SH,伊利股份,2024/11/28,2478.6593,2486.3837,2436.6045,2446.9037,28601441,819510966,-1.247,0.4515,15.2299,-0.44602,0.117285
600887.SH,伊利股份,2024/11/29,2450.3367,2488.9585,2439.1793,2452.9115,33632214,964361679,0.2455,0.5309,15.2673,0.13102,0.059695
600887.SH,伊利股份,2024/12/2,2447.7619,2504.4072,2444.3289,2473.5098,43989746,1271036463,0.8397,0.6945,15.3955,0.42572,0.00804
600887.SH,伊利股份,2024/12/3,2473.5098,2518.1394,2450.3367,2511.2733,45511276,1320226238,1.5267,0.7185,15.6305,0.483,0.04275
600887.SH,伊利股份,2024/12/4,2501.8324,2510.415,2473.5098,2498.3993,31142850,904206041,-0.5126,0.4916,15.5504,0.17046,0.04636
600887.SH,伊利股份,2024/12/5,2476.0845,2496.6828,2468.3602,2475.2263,26888700,777508596,-0.9275,0.4245,15.4062,0.23436,-0.22493
600887.SH,伊利股份,2024/12/6,2475.2263,2519.8559,2470.0767,2509.5567,40929846,1193668609,1.387,0.6461,15.6199,0.46266,-0.14399
600887.SH,伊利股份,2024/12/9,2507.8402,2511.2733,2452.9115,2473.5098,52747886,1521343010,-1.4364,0.8327,15.3955,0.00744,-0.195895
600887.SH,伊利股份,2024/12/10,2531.8715,2583.3672,2523.2889,2533.5881,80771890,2405124343,2.4289,1.2751,15.7694,0.18788,-0.03946
600887.SH,伊利股份,2024/12/11,2525.0055,2574.7846,2520.7141,2555.0446,47434251,1413712570,0.8469,0.7488,15.903,0.45978,-0.03235
600887.SH,伊利股份,2024/12/12,2552.4698,2597.0994,2537.8794,2594.5246,68199214,2046852046,1.5452,1.0766,16.1487,0.95432,0.111555
600887.SH,伊利股份,2024/12/13,2574.7846,2574.7846,2504.4072,2510.415,83244704,2452775495,-3.2418,1.3142,15.6252,0.02856,0.0035
600887.SH,伊利股份,2024/12/16,2516.4228,2531.0133,2479.5176,2506.1237,43134419,1255833008,-0.1709,0.6809,15.5985,0.28166,0.047875
600887.SH,伊利股份,2024/12/17,2496.6828,2561.9107,2482.9506,2541.3124,47201209,1395576372,1.4041,0.7451,15.8174,0.0767,0.13706
600887.SH,伊利股份,2024/12/18,2552.4698,2563.6272,2531.8715,2541.3124,28036626,832421363,0,0.4426,15.8174,-0.09268,0.10762
600887.SH,伊利股份,2024/12/19,2533.5881,2551.6116,2510.415,2520.7141,27558103,811755396,-0.8105,0.435,15.6892,-0.56382,0.04471
600887.SH,伊利股份,2024/12/20,2530.155,2537.0211,2500.1159,2506.1237,29670829,869402808,-0.5788,0.4684,15.5983,-0.03122,0.147755
