ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
300059.SZ,东方财富,2025/4/1,1842.2394,1850.3621,1799.1888,1803.2502,297950453,6675487218,-1.6829,2.2303,36.4656,-0.64082,-0.157235
300059.SZ,东方财富,2025/4/2,1803.2502,1839.8026,1799.1888,1822.7448,223695421,5025251688,1.0811,1.6745,36.8598,-0.45948,-0.10318
300059.SZ,东方财富,2025/4/3,1802.4379,1839.8026,1800.8134,1823.5571,194445587,4368318243,0.0446,1.4555,36.8763,-0.45926,-0.30765
300059.SZ,东方财富,2025/4/7,1705.7772,1742.3296,1476.7157,1570.1273,846804585,16888038812,-13.8976,6.3387,31.7514,-3.25618,-0.89388
300059.SZ,东方财富,2025/4/8,1596.9324,1636.7338,1579.0623,1600.1815,520569024,10290949994,1.9141,3.8967,32.3591,-2.50814,-0.768275
300059.SZ,东方财富,2025/4/9,1580.6869,1685.4703,1544.9468,1665.1635,615175279,12354608029,4.0609,4.6049,33.6732,-1.35938,-0.588865
300059.SZ,东方财富,2025/4/10,1705.7772,1720.3982,1663.5389,1665.1635,520410596,10831319155,0,3.8955,33.6732,-1.5756,-0.63805
300059.SZ,东方财富,2025/4/11,1652.9793,1695.2176,1651.3548,1671.6617,318184441,6540367649,0.3902,2.3817,33.8046,-1.50648,-0.56348
300059.SZ,东方财富,2025/4/14,1682.2212,1691.9685,1670.0371,1673.2862,236368019,4884591650,0.0972,1.7693,33.8375,1.29248,-0.789885
300059.SZ,东方财富,2025/4/15,1668.4126,1668.4126,1649.7302,1660.2898,168724846,3442858349,-0.7767,1.263,33.5747,0.75432,-0.757085
300059.SZ,东方财富,2025/4/16,1652.9578,1662.7338,1627.7032,1655.4018,198269660,4006073812,-0.2944,1.4841,33.3775,-0.11674,-0.782185
300059.SZ,东方财富,2025/4/17,1645.6258,1665.1778,1642.3672,1649.6992,155637612,3162151801,-0.3445,1.165,33.2626,-0.18564,-0.77869
300059.SZ,东方财富,2025/4/18,1645.6258,1675.7685,1642.3672,1668.4365,195442715,3986796364,1.1358,1.463,33.6404,-0.03652,-0.676125
300059.SZ,东方财富,2025/4/21,1653.7725,1692.0618,1651.3285,1680.6565,194843914,4008909280,0.7324,1.4585,33.8867,0.09052,-0.526105
300059.SZ,东方财富,2025/4/22,1673.3245,1689.6178,1669.2511,1674.1391,168116580,3461159797,-0.3878,1.2584,33.7553,0.1683,-0.545495
300059.SZ,东方财富,2025/4/23,1686.3591,1697.7645,1674.9538,1679.8418,218504554,4521040610,0.3406,1.6356,33.8703,0.2953,-0.45541
300059.SZ,东方财富,2025/4/24,1678.2125,1687.9885,1661.1045,1668.4365,179659742,3689419016,-0.679,1.3448,33.6404,0.2284,-0.49808
300059.SZ,东方财富,2025/4/25,1676.5831,1696.9498,1670.0658,1686.3591,266296641,5515523735,1.0742,1.9933,34.0017,0.21608,-0.446545
300059.SZ,东方财富,2025/4/28,1682.2858,1687.1738,1669.2511,1674.9538,156821680,3227016353,-0.6763,1.1739,31.293,-0.06566,-0.48471
300059.SZ,东方财富,2025/4/29,1674.9538,1682.2858,1665.9925,1669.2511,136357564,2800724539,-0.3405,1.0207,31.1864,-0.0562,-0.41043
300059.SZ,东方财富,2025/4/30,1672.5098,1694.5058,1664.3631,1675.7685,191305112,3948031591,0.3904,1.432,31.3082,-0.04624,-0.306765
300059.SZ,东方财富,2025/5/6,1686.3591,1717.3165,1679.0271,1709.9845,328160124,6867607337,2.0418,2.4564,31.9474,0.49792,-0.25873
300059.SZ,东方财富,2025/5/7,1792.2657,1839.5164,1718.9458,1731.1658,651292094,14131316009,1.2387,4.8752,32.3432,0.53082,-0.199025
300059.SZ,东方财富,2025/5/8,1718.1311,1742.5711,1714.0578,1728.7218,267746495,5688789916,-0.1412,2.0042,32.2975,0.63784,0.488795
300059.SZ,东方财富,2025/5/9,1727.9071,1732.7951,1692.0618,1696.9498,220375703,4607385585,-1.8379,1.6496,31.7039,0.33836,0.301195
300059.SZ,东方财富,2025/5/12,1715.6871,1789.8218,1701.8378,1769.4551,524864624,11248063535,4.2727,3.9288,33.0585,1.11482,0.311785
300059.SZ,东方财富,2025/5/13,1784.1191,1784.1191,1745.0151,1747.4591,320648475,6933044216,-1.2431,2.4002,32.6476,0.45784,0.24963
300059.SZ,东方财富,2025/5/14,1745.0151,1896.543,1727.9071,1835.4431,884020944,19674701308,5.035,6.6173,34.2914,1.2171,0.48187
300059.SZ,东方财富,2025/5/15,1805.3004,1816.7057,1775.9724,1777.6018,415805780,9157960739,-3.1514,3.1125,33.2107,0.61506,0.31944
300059.SZ,东方财富,2025/5/16,1772.7138,1789.8218,1752.3471,1753.9764,229994175,4972142238,-1.3291,1.7215,32.7693,0.71682,0.29182
300059.SZ,东方财富,2025/5/19,1750.7178,1763.7524,1732.7951,1751.5324,171971442,3688317134,-0.1393,1.2872,32.7237,-0.16558,0.299575
300059.SZ,东方财富,2025/5/20,1758.0498,1768.6404,1747.4591,1753.1618,197781176,4262763694,0.093,1.4804,32.7541,0.10164,0.32145
300059.SZ,东方财富,2025/5/21,1748.2738,1762.9378,1739.3124,1741.7564,196240548,4214269608,-0.6506,1.4671,32.5792,-1.03548,0.23213
300059.SZ,东方财富,2025/5/22,1735.2391,1746.6444,1725.4631,1729.5364,161566646,3435139886,-0.7016,1.2078,32.3506,-0.54552,0.16043
300059.SZ,东方财富,2025/5/23,1723.8338,1741.7564,1691.2471,1692.8765,270666662,5697965656,-2.1196,2.0235,31.6649,-0.70362,0.07384
